timestamp, temperature.gpu, temperature.memory, power.draw [W]
2026/06/03 09:53:20.473, 73, N/A, 167.01 W
2026/06/03 09:53:25.473, 73, N/A, 176.11 W
2026/06/03 09:53:30.474, 73, N/A, 177.43 W
2026/06/03 09:53:35.475, 75, N/A, 183.55 W
2026/06/03 09:53:40.475, 74, N/A, 172.17 W
2026/06/03 09:53:45.476, 73, N/A, 177.16 W
2026/06/03 09:53:50.476, 75, N/A, 174.09 W
2026/06/03 09:53:55.477, 74, N/A, 170.72 W
2026/06/03 09:54:00.477, 75, N/A, 174.89 W
2026/06/03 09:54:05.478, 75, N/A, 183.35 W
2026/06/03 09:54:10.478, 74, N/A, 180.48 W
2026/06/03 09:54:15.479, 76, N/A, 180.56 W
2026/06/03 09:54:20.480, 73, N/A, 172.39 W
2026/06/03 09:54:25.480, 72, N/A, 160.02 W
2026/06/03 09:54:30.481, 74, N/A, 173.83 W
2026/06/03 09:54:35.481, 73, N/A, 183.70 W
2026/06/03 09:54:40.482, 72, N/A, 168.61 W
2026/06/03 09:54:45.482, 73, N/A, 179.34 W
2026/06/03 09:54:50.483, 73, N/A, 182.08 W
2026/06/03 09:54:55.483, 74, N/A, 179.01 W
2026/06/03 09:55:00.484, 74, N/A, 187.02 W
2026/06/03 09:55:05.485, 74, N/A, 173.76 W
2026/06/03 09:55:10.485, 74, N/A, 176.97 W
2026/06/03 09:55:15.486, 73, N/A, 182.67 W
2026/06/03 09:55:20.486, 74, N/A, 183.38 W
2026/06/03 09:55:25.487, 73, N/A, 176.66 W
2026/06/03 09:55:30.487, 72, N/A, 174.94 W
2026/06/03 09:55:35.488, 73, N/A, 174.83 W
2026/06/03 09:55:40.488, 72, N/A, 177.42 W
2026/06/03 09:55:45.489, 73, N/A, 179.42 W
2026/06/03 09:55:50.489, 76, N/A, 178.90 W
2026/06/03 09:55:55.490, 73, N/A, 172.30 W
2026/06/03 09:56:00.490, 75, N/A, 191.68 W
2026/06/03 09:56:05.491, 73, N/A, 194.59 W
2026/06/03 09:56:10.491, 73, N/A, 176.25 W
2026/06/03 09:56:15.492, 74, N/A, 185.05 W
2026/06/03 09:56:20.492, 74, N/A, 167.83 W
2026/06/03 09:56:25.493, 76, N/A, 186.63 W
2026/06/03 09:56:30.493, 74, N/A, 192.98 W
2026/06/03 09:56:35.494, 75, N/A, 185.18 W
2026/06/03 09:56:40.495, 73, N/A, 173.42 W
2026/06/03 09:56:45.495, 77, N/A, 191.75 W
2026/06/03 09:56:50.496, 73, N/A, 158.16 W
2026/06/03 09:56:55.496, 73, N/A, 177.88 W
2026/06/03 09:57:00.497, 73, N/A, 186.04 W
2026/06/03 09:57:05.497, 74, N/A, 175.54 W
2026/06/03 09:57:10.498, 73, N/A, 178.95 W
2026/06/03 09:57:15.498, 74, N/A, 179.46 W
2026/06/03 09:57:20.499, 73, N/A, 160.22 W
2026/06/03 09:57:25.499, 75, N/A, 190.65 W
2026/06/03 09:57:30.500, 73, N/A, 184.31 W
2026/06/03 09:57:35.500, 72, N/A, 174.22 W
2026/06/03 09:57:40.501, 75, N/A, 181.95 W
2026/06/03 09:57:45.502, 76, N/A, 182.41 W
2026/06/03 09:57:50.502, 73, N/A, 185.01 W
2026/06/03 09:57:55.503, 75, N/A, 185.06 W
2026/06/03 09:58:00.503, 74, N/A, 178.00 W
2026/06/03 09:58:05.504, 72, N/A, 179.65 W
2026/06/03 09:58:10.504, 75, N/A, 184.58 W
2026/06/03 09:58:15.505, 73, N/A, 168.38 W
2026/06/03 09:58:20.505, 75, N/A, 168.11 W
2026/06/03 09:58:25.506, 73, N/A, 179.05 W
